time	running	waiting
2026-08-31 13:25:10	3.0	0.0
2026-08-31 13:25:40	3.0	0.0
2026-08-31 13:26:10	2.0	0.0
2026-08-31 13:26:40	3.0	0.0
2026-08-31 13:27:10	3.0	0.0
2026-08-31 13:27:40	3.0	0.0
2026-08-31 13:28:10	3.0	0.0
2026-08-31 13:28:40	3.0	0.0
2026-08-31 13:29:11	3.0	0.0
2026-08-31 13:29:41	3.0	0.0
2026-08-31 13:30:11	3.0	0.0
2026-08-31 13:30:41	3.0	0.0
2026-08-31 13:31:11	2.0	0.0
2026-08-31 13:31:41	3.0	0.0
2026-08-31 13:32:11	2.0	0.0
2026-08-31 13:32:41	2.0	0.0
2026-08-31 13:33:11	1.0	0.0
2026-08-31 13:33:41	2.0	0.0
2026-08-31 13:34:11	3.0	0.0
2026-08-31 13:34:41	3.0	0.0
2026-08-31 13:35:11	3.0	0.0
2026-08-31 13:35:41	3.0	0.0
2026-08-31 13:36:11	3.0	0.0
2026-08-31 13:36:41	3.0	0.0
2026-08-31 13:37:12	3.0	0.0
2026-08-31 13:37:42	3.0	0.0
2026-08-31 13:38:12	3.0	0.0
2026-08-31 13:38:42	3.0	0.0
2026-08-31 13:39:12	3.0	0.0
2026-08-31 13:39:42	2.0	0.0
2026-08-31 13:40:12	2.0	0.0
2026-08-31 13:40:42	2.0	0.0
2026-08-31 13:41:12	2.0	0.0
2026-08-31 13:41:42	2.0	0.0
2026-08-31 13:42:12	1.0	0.0
2026-08-31 13:42:42	2.0	0.0
2026-08-31 13:43:12	2.0	0.0
2026-08-31 13:43:42	1.0	0.0
2026-08-31 13:44:12	1.0	0.0
2026-08-31 13:44:42	1.0	0.0
2026-08-31 13:45:13	1.0	0.0
2026-08-31 13:45:43	1.0	0.0
2026-08-31 13:46:13	1.0	0.0
2026-08-31 13:46:43	1.0	0.0
2026-08-31 13:47:13	1.0	0.0
2026-08-31 13:47:43	1.0	0.0
2026-08-31 13:48:13	1.0	0.0
2026-08-31 13:48:43	1.0	0.0
2026-08-31 13:49:13	1.0	0.0
2026-08-31 13:49:43	1.0	0.0
2026-08-31 13:50:13	1.0	0.0
2026-08-31 13:50:43	1.0	0.0
2026-08-31 13:51:13	1.0	0.0
2026-08-31 13:51:43	1.0	0.0
2026-08-31 13:52:13	1.0	0.0
2026-08-31 13:52:43	1.0	0.0
2026-08-31 13:53:13	2.0	0.0
2026-08-31 13:53:44	2.0	0.0
2026-08-31 13:54:14	1.0	0.0
2026-08-31 13:54:44	1.0	0.0
2026-08-31 13:55:14	1.0	0.0
2026-08-31 13:55:44	1.0	0.0
2026-08-31 13:56:14	1.0	0.0
2026-08-31 13:56:44	1.0	0.0
2026-08-31 13:57:14	1.0	0.0
2026-08-31 13:57:44	1.0	0.0
2026-08-31 13:58:14	1.0	0.0
2026-08-31 13:58:44	1.0	0.0
2026-08-31 13:59:14	1.0	0.0
2026-08-31 13:59:44	1.0	0.0
2026-08-31 14:00:14	1.0	0.0
2026-08-31 14:00:44	1.0	0.0
2026-08-31 14:01:14	1.0	0.0
2026-08-31 14:01:45	1.0	0.0
2026-08-31 14:02:15	1.0	0.0
2026-08-31 14:02:45	1.0	0.0
2026-08-31 14:03:15	1.0	0.0
2026-08-31 14:03:45	1.0	0.0
2026-08-31 14:04:15	1.0	0.0
2026-08-31 14:04:45	1.0	0.0
2026-08-31 14:05:15	1.0	0.0
2026-08-31 14:05:45	1.0	0.0
2026-08-31 14:06:15	2.0	0.0
2026-08-31 14:06:45	2.0	0.0
2026-08-31 14:07:15	2.0	0.0
2026-08-31 14:07:45	2.0	0.0
2026-08-31 14:08:15	1.0	0.0
2026-08-31 14:08:45	1.0	0.0
2026-08-31 14:09:15	1.0	0.0
2026-08-31 14:09:45	2.0	0.0
2026-08-31 14:10:15	2.0	0.0
2026-08-31 14:10:46	2.0	0.0
2026-08-31 14:11:16	2.0	0.0
2026-08-31 14:11:46	3.0	0.0
2026-08-31 14:12:16	3.0	0.0
2026-08-31 14:12:46	2.0	0.0
2026-08-31 14:13:16	1.0	0.0
2026-08-31 14:13:46	1.0	0.0
2026-08-31 14:14:16	1.0	0.0
2026-08-31 14:14:46	1.0	0.0
2026-08-31 14:15:16	1.0	0.0
2026-08-31 14:15:46	1.0	0.0
2026-08-31 14:16:16	1.0	0.0
2026-08-31 14:16:46	1.0	0.0
2026-08-31 14:17:16	1.0	0.0
2026-08-31 14:17:46	1.0	0.0
2026-08-31 14:18:16	1.0	0.0
2026-08-31 14:18:46	2.0	0.0
2026-08-31 14:19:16	2.0	0.0
2026-08-31 14:19:47	1.0	0.0
2026-08-31 14:20:17	1.0	0.0
2026-08-31 14:20:47	1.0	0.0
2026-08-31 14:21:17	1.0	0.0
2026-08-31 14:21:47	1.0	0.0
2026-08-31 14:22:17	1.0	0.0
2026-08-31 14:22:47	1.0	0.0
2026-08-31 14:23:17	1.0	0.0
2026-08-31 14:23:47	1.0	0.0
2026-08-31 14:24:17	2.0	0.0
2026-08-31 14:24:47	2.0	0.0
2026-08-31 14:25:17	2.0	0.0
2026-08-31 14:25:47	2.0	0.0
2026-08-31 14:26:17	2.0	0.0
2026-08-31 14:26:47	2.0	0.0
2026-08-31 14:27:17	2.0	0.0
2026-08-31 14:27:47	1.0	0.0
2026-08-31 14:28:17	2.0	0.0
2026-08-31 14:28:47	2.0	0.0
2026-08-31 14:29:18	2.0	0.0
2026-08-31 14:29:48	1.0	0.0
2026-08-31 14:30:18	2.0	0.0
2026-08-31 14:30:48	2.0	0.0
2026-08-31 14:31:18	2.0	0.0
2026-08-31 14:31:48	2.0	0.0
2026-08-31 14:32:18	2.0	0.0
2026-08-31 14:32:48	2.0	0.0
2026-08-31 14:33:18	2.0	0.0
2026-08-31 14:33:48	2.0	0.0
2026-08-31 14:34:18	2.0	0.0
2026-08-31 14:34:48	2.0	0.0
2026-08-31 14:35:18	2.0	0.0
2026-08-31 14:35:48	2.0	0.0
2026-08-31 14:36:18	2.0	0.0
2026-08-31 14:36:48	2.0	0.0
2026-08-31 14:37:18	2.0	0.0
2026-08-31 14:37:49	2.0	0.0
2026-08-31 14:38:19	1.0	0.0
2026-08-31 14:38:49	1.0	0.0
2026-08-31 14:39:19	2.0	0.0
2026-08-31 14:39:49	2.0	0.0
2026-08-31 14:40:19	2.0	0.0
2026-08-31 14:40:49	2.0	0.0
2026-08-31 14:41:19	2.0	0.0
2026-08-31 14:41:49	1.0	0.0
2026-08-31 14:42:19	2.0	0.0
2026-08-31 14:42:49	2.0	0.0
2026-08-31 14:43:19	1.0	0.0
2026-08-31 14:43:49	1.0	0.0
2026-08-31 14:44:19	1.0	0.0
2026-08-31 14:44:49	1.0	0.0
2026-08-31 14:45:19	1.0	0.0
2026-08-31 14:45:49	1.0	0.0
2026-08-31 14:46:19	1.0	0.0
2026-08-31 14:46:50	1.0	0.0
2026-08-31 14:47:20	1.0	0.0
2026-08-31 14:47:50	1.0	0.0
2026-08-31 14:48:20	1.0	0.0
2026-08-31 14:48:50	1.0	0.0
2026-08-31 14:49:20	1.0	0.0
2026-08-31 14:49:50	1.0	0.0
2026-08-31 14:50:20	1.0	0.0
2026-08-31 14:50:50	1.0	0.0
2026-08-31 14:51:20	1.0	0.0
2026-08-31 14:51:50	1.0	0.0
2026-08-31 14:52:20	1.0	0.0
2026-08-31 14:52:50	1.0	0.0
2026-08-31 14:53:20	1.0	0.0
2026-08-31 14:53:50	1.0	0.0
2026-08-31 14:54:21	1.0	0.0
2026-08-31 14:54:51	1.0	0.0
2026-08-31 14:55:21	1.0	0.0
2026-08-31 14:55:51	1.0	0.0
2026-08-31 14:56:21	1.0	0.0
2026-08-31 14:56:51	1.0	0.0
2026-08-31 14:57:21	1.0	0.0
2026-08-31 14:57:51	1.0	0.0
2026-08-31 14:58:21	1.0	0.0
2026-08-31 14:58:51	1.0	0.0
2026-08-31 14:59:21	1.0	0.0
2026-08-31 14:59:51	1.0	0.0
2026-08-31 15:00:21	1.0	0.0
2026-08-31 15:00:51	1.0	0.0
2026-08-31 15:01:21	1.0	0.0
2026-08-31 15:01:51	1.0	0.0
2026-08-31 15:02:21	1.0	0.0
2026-08-31 15:02:51	1.0	0.0
2026-08-31 15:03:22	1.0	0.0
2026-08-31 15:03:52	1.0	0.0
2026-08-31 15:04:22	1.0	0.0
2026-08-31 15:04:52	1.0	0.0
2026-08-31 15:05:22	1.0	0.0
2026-08-31 15:05:52	1.0	0.0
2026-08-31 15:06:22	1.0	0.0
2026-08-31 15:06:52	1.0	0.0
2026-08-31 15:07:22	1.0	0.0
2026-08-31 15:07:52	1.0	0.0
2026-08-31 15:08:23	1.0	0.0
2026-08-31 15:08:53	1.0	0.0
2026-08-31 15:09:23	1.0	0.0
2026-08-31 15:09:53	1.0	0.0
2026-08-31 15:10:23	1.0	0.0
2026-08-31 15:10:53	1.0	0.0
2026-08-31 15:11:23	1.0	0.0
2026-08-31 15:11:53	1.0	0.0
2026-08-31 15:12:23	1.0	0.0
2026-08-31 15:12:53	1.0	0.0
2026-08-31 15:13:23	1.0	0.0
2026-08-31 15:13:53	1.0	0.0
2026-08-31 15:14:23	1.0	0.0
2026-08-31 15:14:53	1.0	0.0
2026-08-31 15:15:24	1.0	0.0
2026-08-31 15:15:54	2.0	0.0
2026-08-31 15:16:24	2.0	0.0
2026-08-31 15:16:54	2.0	0.0
2026-08-31 15:17:24	2.0	0.0
2026-08-31 15:17:54	1.0	0.0
2026-08-31 15:18:24	1.0	0.0
2026-08-31 15:18:54	1.0	0.0
2026-08-31 15:19:24	1.0	0.0
2026-08-31 15:19:54	1.0	0.0
2026-08-31 15:20:24	1.0	0.0
2026-08-31 15:20:55	1.0	0.0
2026-08-31 15:21:25	1.0	0.0
2026-08-31 15:21:55	1.0	0.0
2026-08-31 15:22:25	1.0	0.0
2026-08-31 15:22:55	1.0	0.0
2026-08-31 15:23:25	1.0	0.0
2026-08-31 15:23:55	1.0	0.0
2026-08-31 15:24:25	1.0	0.0
2026-08-31 15:24:55	1.0	0.0
2026-08-31 15:25:25	1.0	0.0
2026-08-31 15:25:55	1.0	0.0
2026-08-31 15:26:25	1.0	0.0
2026-08-31 15:26:55	1.0	0.0
2026-08-31 15:27:25	1.0	0.0
2026-08-31 15:27:55	1.0	0.0
2026-08-31 15:28:26	1.0	0.0
2026-08-31 15:28:56	1.0	0.0
2026-08-31 15:29:26	0.0	0.0
2026-08-31 15:29:56	0.0	0.0
2026-08-31 15:30:26	0.0	0.0
2026-08-31 15:30:56	0.0	0.0
2026-08-31 15:31:26	1.0	0.0
2026-08-31 15:31:56	1.0	0.0
2026-08-31 15:32:26	1.0	0.0
2026-08-31 15:32:56	1.0	0.0
